customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00072,Female,0,No,Yes,1,No,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card,83.37,88.94,1
CUST-00073,Male,0,No,No,50,No,Fiber optic,No,No,One year,No,Bank transfer,76.94,3828.71,0
CUST-00074,Male,0,No,No,36,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,109.65,4332.49,0
CUST-00075,Female,0,No,Yes,39,No,No,No,No internet service,Month-to-month,Yes,Electronic check,98.35,3789.33,0
CUST-00076,Male,0,No,Yes,44,Yes,Fiber optic,Yes,No,One year,Yes,Bank transfer,75.54,3423.19,0
CUST-00077,Male,0,Yes,No,2,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,50.9,92.65,1
CUST-00078,Male,0,Yes,No,13,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,71.14,953.18,0
CUST-00079,Female,0,No,No,3,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Electronic check,61.67,198.01,0
CUST-00080,Male,0,No,No,59,No,No,No internet service,No internet service,One year,Yes,Bank transfer,93.6,6011.09,0
CUST-00081,Female,0,No,No,29,No,DSL,No,Yes,Month-to-month,Yes,Mailed check,89.79,2862.91,0
CUST-00082,Male,0,No,Yes,12,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,56.11,643.99,1
CUST-00083,Male,0,Yes,No,1,No phone service,Fiber optic,Yes,Yes,One year,No,Electronic check,21.14,21.46,0
CUST-00084,Female,0,No,Yes,11,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,105.0,1143.62,0
CUST-00085,Male,0,Yes,Yes,11,No,DSL,No,No internet service,Month-to-month,No,Mailed check,82.46,918.64,1
CUST-00086,Female,0,Yes,Yes,39,No,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,55.42,2013.31,0
CUST-00087,Male,0,No,No,30,No,DSL,Yes,No,Month-to-month,No,Bank transfer,81.29,2612.41,1
CUST-00088,Male,1,Yes,Yes,65,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,67.25,4729.32,0
CUST-00089,Female,0,No,Yes,19,Yes,No,No,Yes,Two year,Yes,Bank transfer,104.56,1966.64,0
CUST-00090,Male,0,Yes,No,3,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,18.0,51.63,0
CUST-00091,Female,0,Yes,Yes,37,Yes,DSL,No internet service,No,Month-to-month,No,Bank transfer,53.08,1822.88,0
CUST-00092,Male,0,No,Yes,42,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,112.97,4919.12,1
CUST-00093,Female,0,Yes,Yes,24,Yes,DSL,No internet service,No,Month-to-month,Yes,Electronic check,81.9,1891.78,0
CUST-00094,Male,0,Yes,Yes,44,No phone service,No,Yes,No,One year,Yes,Bank transfer,118.0,5617.26,0
CUST-00095,Female,0,No,No,20,Yes,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,28.35,586.39,1
CUST-00096,Female,0,Yes,No,22,No,No,No,Yes,Month-to-month,No,Electronic check,97.17,2200.03,0
CUST-00097,Female,1,Yes,Yes,16,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,95.37,1544.05,0
CUST-00098,Male,0,No,No,1,No,No,No,Yes,Two year,No,Bank transfer,18.0,16.36,0
CUST-00099,Female,0,Yes,Yes,3,Yes,DSL,No,No,Month-to-month,No,Credit card,56.13,182.94,1
CUST-00100,Male,0,No,Yes,1,Yes,DSL,No,No,Month-to-month,No,Electronic check,61.8,63.38,0
CUST-00101,Female,0,No,No,30,No,DSL,Yes,Yes,One year,Yes,Credit card,18.0,593.36,0
CUST-00102,Female,0,No,No,11,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,56.76,629.02,1
CUST-00103,Female,0,Yes,Yes,21,Yes,DSL,No,No,One year,No,Credit card,91.2,1995.68,0
CUST-00104,Male,0,No,Yes,71,No,Fiber optic,No,No internet service,One year,No,Bank transfer,53.27,3446.47,0
CUST-00105,Female,0,Yes,Yes,8,No,No,No internet service,No,Month-to-month,No,Bank transfer,72.26,593.31,1
CUST-00106,Male,0,Yes,Yes,15,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,72.48,1144.75,0
CUST-00107,Female,1,Yes,Yes,42,No,DSL,No internet service,Yes,Two year,Yes,Bank transfer,64.64,2866.11,0
CUST-00108,Female,0,No,No,7,No phone service,No,No,No,One year,No,Bank transfer,43.84,323.46,0
CUST-00109,Female,0,No,Yes,2,Yes,Fiber optic,Yes,Yes,Two year,Yes,Electronic check,84.76,160.24,0
CUST-00110,Male,0,Yes,No,10,Yes,No,No internet service,No,Month-to-month,No,Bank transfer,18.0,197.11,0
CUST-00111,Female,0,No,No,5,No,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,65.26,358.62,1
CUST-00112,Male,0,No,Yes,72,No,Fiber optic,No,No,Two year,Yes,Mailed check,106.56,7021.09,0
CUST-00113,Female,0,Yes,No,49,Yes,DSL,No,No internet service,Month-to-month,No,Mailed check,51.58,2748.04,0
CUST-00114,Male,0,No,No,30,Yes,No,No,Yes,Two year,Yes,Electronic check,43.18,1240.85,0
CUST-00115,Male,0,No,Yes,61,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.77,5493.34,0
CUST-00116,Female,0,Yes,No,48,No,No,No internet service,No,Two year,No,Bank transfer,69.9,3246.57,0
CUST-00117,Female,0,Yes,No,6,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,87.36,573.2,0
CUST-00118,Male,1,Yes,Yes,66,No,No,No internet service,No,Month-to-month,Yes,Electronic check,66.15,4017.94,0
CUST-00119,Male,0,No,Yes,23,Yes,Fiber optic,No,Yes,Two year,Yes,Credit card,18.0,413.81,0
CUST-00120,Male,0,No,No,49,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,100.4,4848.8,0
CUST-00121,Female,0,Yes,Yes,67,No,No,Yes,No,Month-to-month,Yes,Bank transfer,118.0,7630.91,0
CUST-00122,Male,0,No,No,11,No,DSL,No,No internet service,Month-to-month,Yes,Credit card,103.52,1171.86,0
CUST-00123,Female,0,No,No,3,Yes,DSL,No,No,One year,Yes,Bank transfer,18.0,50.02,0
CUST-00124,Female,0,No,No,7,No,DSL,No internet service,No,Two year,Yes,Credit card,78.53,573.53,0
CUST-00125,Male,0,No,Yes,16,No phone service,No,Yes,No internet service,Month-to-month,Yes,Credit card,51.0,894.43,1
CUST-00126,Male,1,No,Yes,51,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Credit card,32.47,1756.84,1
CUST-00127,Male,1,No,Yes,59,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,68.68,4343.89,0
CUST-00128,Male,0,Yes,Yes,1,No,No,No,Yes,One year,No,Mailed check,60.53,58.83,0
CUST-00129,Male,0,Yes,No,21,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,80.26,1626.43,0
CUST-00130,Male,0,Yes,Yes,16,No,DSL,Yes,No internet service,Month-to-month,Yes,Credit card,66.7,1070.84,0
CUST-00131,Male,1,No,Yes,7,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,31.38,199.7,0
CUST-00132,Female,0,No,Yes,3,No,No,Yes,No internet service,One year,No,Credit card,47.7,155.85,0
CUST-00133,Male,0,Yes,No,12,Yes,DSL,No,Yes,Two year,Yes,Bank transfer,42.86,477.68,0
CUST-00134,Male,0,No,No,72,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,18.0,1400.46,0
CUST-00135,Male,0,No,No,11,No,DSL,No internet service,Yes,Month-to-month,Yes,Electronic check,23.85,240.5,0
CUST-00136,Female,0,No,Yes,21,No,Fiber optic,No internet service,No internet service,One year,Yes,Electronic check,58.67,1311.57,0
CUST-00137,Female,0,No,No,36,No,DSL,No,Yes,One year,Yes,Bank transfer,107.71,3607.65,0
CUST-00138,Male,1,Yes,No,13,No,DSL,No,No,Month-to-month,Yes,Electronic check,48.93,577.33,0
CUST-00139,Female,1,No,Yes,72,No,Fiber optic,No,No,Month-to-month,No,Electronic check,42.28,3177.79,0
CUST-00140,Male,1,No,No,72,Yes,No,No,Yes,Month-to-month,Yes,Credit card,29.56,2034.79,0
CUST-00141,Male,0,No,No,8,No,Fiber optic,No,Yes,One year,Yes,Electronic check,65.92,549.98,0
CUST-00142,Male,1,No,No,20,No,No,No,No,One year,No,Credit card,100.38,2029.72,0
CUST-00143,Female,0,No,No,10,No,Fiber optic,No,No internet service,Month-to-month,No,Electronic check,118.0,1087.68,1
CUST-00144,Female,0,Yes,Yes,10,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card,73.56,799.17,1
CUST-00145,Female,1,No,Yes,1,No,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,69.2,68.54,0
CUST-00146,Female,0,Yes,No,28,Yes,No,No,Yes,Two year,Yes,Electronic check,48.7,1427.54,0
CUST-00147,Female,0,Yes,Yes,20,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,53.7,1074.22,0
CUST-00148,Female,0,No,No,1,No,No,No internet service,Yes,Two year,Yes,Credit card,83.88,85.63,0
CUST-00149,Male,0,No,Yes,9,Yes,DSL,No,No,One year,Yes,Mailed check,55.55,480.23,0
CUST-00150,Female,1,No,No,71,Yes,DSL,Yes,No,Month-to-month,No,Bank transfer,60.13,4013.38,0
CUST-00151,Male,0,Yes,No,8,No,Fiber optic,No,No internet service,Month-to-month,No,Credit card,64.24,518.3,1
CUST-00152,Female,1,No,Yes,4,Yes,DSL,No,No,Two year,Yes,Electronic check,47.28,186.86,0
CUST-00153,Male,1,Yes,No,20,No,DSL,No,No,Month-to-month,Yes,Credit card,62.75,1227.42,1
CUST-00154,Male,0,Yes,Yes,72,Yes,Fiber optic,No,No internet service,Two year,Yes,Electronic check,18.0,1340.73,0
CUST-00155,Female,0,No,Yes,8,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,81.47,676.59,1
CUST-00156,Male,0,No,No,33,Yes,DSL,No internet service,No,One year,No,Electronic check,118.0,3540.36,0
CUST-00157,Female,0,No,Yes,43,Yes,DSL,No internet service,No internet service,Two year,No,Mailed check,48.44,2015.74,0
CUST-00158,Male,0,No,Yes,8,No,Fiber optic,Yes,No,Two year,No,Electronic check,76.22,599.0,1
CUST-00159,Male,0,Yes,No,39,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,90.55,3246.74,0
CUST-00160,Female,0,Yes,No,13,No,Fiber optic,Yes,No,One year,Yes,Mailed check,103.41,1273.32,0
CUST-00161,Male,1,Yes,Yes,30,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,57.07,1558.57,0
CUST-00162,Male,0,Yes,No,30,No,No,Yes,No,Month-to-month,No,Bank transfer,18.0,593.59,0
CUST-00163,Male,0,Yes,Yes,23,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,73.02,1758.92,1
CUST-00164,Female,0,No,No,2,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,68.86,126.36,0
CUST-00165,Male,1,Yes,No,54,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,54.63,2666.97,0
CUST-00166,Male,0,No,No,11,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,60.99,700.31,0
CUST-00167,Female,0,Yes,No,6,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,69.31,410.8,0
CUST-00168,Male,0,Yes,Yes,1,Yes,Fiber optic,Yes,Yes,One year,No,Mailed check,75.85,80.2,0
CUST-00169,Male,0,Yes,No,26,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,74.59,2103.59,0
CUST-00170,Female,0,No,No,33,Yes,Fiber optic,No,Yes,Two year,Yes,Electronic check,58.47,1967.83,0
CUST-00171,Male,1,Yes,No,1,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,76.53,71.74,1
CUST-00172,Male,0,Yes,Yes,21,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,56.45,1252.36,1
CUST-00173,Female,0,Yes,No,7,No,Fiber optic,Yes,Yes,One year,Yes,Mailed check,84.26,643.59,0
CUST-00174,Female,0,Yes,Yes,31,No,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,46.18,1454.55,1
CUST-00175,Female,0,Yes,No,5,No,Fiber optic,No,No internet service,One year,Yes,Credit card,67.19,348.18,0
CUST-00176,Male,0,Yes,Yes,35,No,No,No,No internet service,Month-to-month,Yes,Electronic check,18.0,609.52,0
CUST-00177,Male,0,Yes,Yes,14,No phone service,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer,53.9,736.72,1
CUST-00178,Male,0,Yes,Yes,72,No,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,82.02,6182.59,0
CUST-00179,Male,0,Yes,Yes,4,Yes,No,No internet service,Yes,Two year,No,Electronic check,33.99,147.59,0
CUST-00180,Male,0,Yes,Yes,12,Yes,DSL,Yes,No internet service,One year,Yes,Electronic check,55.4,681.95,0
CUST-00181,Male,0,No,Yes,3,Yes,Fiber optic,No internet service,No,One year,Yes,Bank transfer,18.0,57.13,1
CUST-00182,Male,1,Yes,No,72,Yes,DSL,Yes,Yes,One year,No,Electronic check,23.96,1611.83,0
CUST-00183,Male,0,Yes,No,62,Yes,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,31.81,1858.6,1
CUST-00184,Male,0,No,Yes,8,Yes,DSL,No,No,One year,Yes,Credit card,68.05,547.89,0
CUST-00185,Male,0,Yes,No,32,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Credit card,75.0,2244.75,0
CUST-00186,Female,0,Yes,Yes,50,Yes,DSL,No internet service,No,Month-to-month,Yes,Mailed check,63.32,3251.48,0
CUST-00187,Male,0,No,Yes,24,Yes,DSL,No,No,One year,Yes,Electronic check,53.52,1230.96,0
CUST-00188,Female,0,No,No,22,No phone service,Fiber optic,Yes,No,Month-to-month,No,Mailed check,53.63,1248.65,0
CUST-00189,Male,1,No,Yes,8,No,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,86.48,734.47,1
CUST-00190,Female,1,No,No,2,No,No,No internet service,Yes,Two year,Yes,Credit card,71.38,141.73,0
CUST-00191,Female,0,No,No,68,No,No,Yes,Yes,One year,Yes,Credit card,54.98,3499.97,0
CUST-00192,Female,1,Yes,No,69,No,Fiber optic,No internet service,No internet service,One year,Yes,Mailed check,103.8,7372.45,1
CUST-00193,Male,0,Yes,Yes,30,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,118.0,3888.89,0
CUST-00194,Male,0,Yes,Yes,12,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,27.63,339.69,0
CUST-00195,Female,0,Yes,No,12,Yes,Fiber optic,Yes,No,One year,Yes,Credit card,80.68,878.27,0
CUST-00196,Male,0,Yes,Yes,38,Yes,Fiber optic,No,Yes,One year,No,Mailed check,118.0,4051.11,0
CUST-00197,Female,0,No,No,68,Yes,DSL,No internet service,No,Month-to-month,Yes,Mailed check,73.41,4812.53,0
CUST-00198,Male,0,Yes,No,65,No,No,No,No,Two year,Yes,Mailed check,68.46,4179.15,0
CUST-00199,Female,0,Yes,Yes,45,No,Fiber optic,No,No,Two year,Yes,Credit card,63.33,3028.28,0
CUST-00200,Female,1,No,Yes,30,No,DSL,Yes,No,Month-to-month,Yes,Electronic check,79.71,2556.21,0
CUST-00201,Female,0,Yes,No,2,No,DSL,No internet service,No,Two year,Yes,Credit card,87.65,166.84,0
CUST-00202,Female,0,No,No,5,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,27.66,133.48,1
CUST-00203,Female,0,Yes,Yes,68,Yes,No,Yes,No,Month-to-month,Yes,Credit card,64.21,4135.96,0
CUST-00204,Male,0,Yes,No,27,Yes,No,No,No,Month-to-month,Yes,Mailed check,18.0,525.69,0
CUST-00205,Male,0,No,Yes,1,No,Fiber optic,No,No internet service,One year,Yes,Electronic check,58.72,58.75,0
CUST-00206,Female,0,No,No,3,Yes,DSL,Yes,No,Two year,Yes,Electronic check,37.92,117.31,0
CUST-00207,Male,0,No,No,32,Yes,DSL,Yes,Yes,One year,Yes,Mailed check,75.18,2365.09,0
CUST-00208,Male,0,Yes,No,1,No,No,Yes,Yes,One year,Yes,Electronic check,18.0,18.47,0
CUST-00209,Female,0,Yes,No,5,No phone service,DSL,Yes,No,Month-to-month,Yes,Bank transfer,49.63,242.49,0
CUST-00210,Male,0,No,No,23,No,No,No internet service,No,Month-to-month,Yes,Electronic check,94.0,2092.68,1
CUST-00211,Male,0,No,No,35,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,44.71,1606.94,0
CUST-00212,Female,0,No,No,31,No phone service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,568.16,0
CUST-00213,Male,0,Yes,Yes,7,Yes,Fiber optic,No internet service,No,One year,Yes,Mailed check,72.73,488.09,1
CUST-00214,Female,0,Yes,No,37,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,47.4,1630.81,1
CUST-00215,Female,0,No,Yes,8,No,Fiber optic,No,No,One year,No,Mailed check,59.42,462.87,0
CUST-00216,Male,0,Yes,No,11,Yes,No,No,No,Month-to-month,No,Bank transfer,43.1,466.06,0
CUST-00217,Female,1,Yes,No,41,No,No,No,Yes,Month-to-month,Yes,Mailed check,118.0,4962.51,1
CUST-00218,Male,0,No,No,31,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,18.26,612.99,0
CUST-00219,Female,0,Yes,No,56,No,Fiber optic,No,No internet service,Two year,No,Electronic check,118.0,5995.02,0
CUST-00220,Female,0,No,Yes,32,No phone service,No,Yes,No,Month-to-month,No,Electronic check,53.28,1617.55,0
CUST-00221,Female,0,No,Yes,25,No,No,Yes,No,Month-to-month,Yes,Bank transfer,70.5,1654.53,0
CUST-00222,Female,1,No,No,2,No phone service,Fiber optic,No,Yes,Two year,Yes,Mailed check,47.76,95.56,0
CUST-00223,Male,0,No,Yes,13,Yes,DSL,Yes,Yes,Two year,Yes,Mailed check,46.5,596.0,0
CUST-00224,Male,0,Yes,Yes,9,Yes,DSL,No internet service,No internet service,One year,Yes,Credit card,41.46,390.23,0
CUST-00225,Male,0,Yes,Yes,8,No phone service,No,No,No,Month-to-month,Yes,Electronic check,83.04,630.1,1
CUST-00226,Male,0,Yes,No,72,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,22.68,1663.82,0
CUST-00227,Male,0,No,No,14,No,DSL,No,No internet service,Two year,Yes,Electronic check,75.92,1144.48,0
CUST-00228,Male,0,No,Yes,66,Yes,DSL,No,No,Two year,Yes,Bank transfer,18.0,1285.58,0
CUST-00229,Female,0,Yes,No,29,No,Fiber optic,Yes,No internet service,One year,No,Bank transfer,73.21,2317.9,0
CUST-00230,Male,0,No,No,47,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card,90.47,4484.48,1
